"date","geography","geography code","Marital and civil partnership status: Total; measures: Value","Marital and civil partnership status: Never married and never registered a civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value"
"2021","Derby","E06000015",209194,83649,89443,89017,88487,530,426,182,244,4771,4718,53,18630,18561,69,12701,12691,10
"2021","Leicester","E06000016",291012,125393,126202,125597,124906,691,605,382,223,5759,5731,28,18946,18906,40,14712,14696,16
"2021","Nottingham","E06000018",264321,145860,81438,80887,80229,658,551,196,355,5651,5614,37,19615,19558,57,11757,11737,20
"2021","Rutland","E06000017",34300,10140,17891,17826,17734,92,65,22,43,746,744,2,3157,3143,14,2366,2361,5
"2021","Derbyshire","E10000007",659819,217838,312380,311143,309438,1705,1237,389,848,14858,14752,106,68502,68354,148,46241,46195,46
"2021","Leicestershire","E10000018",587434,197796,286441,285438,284075,1363,1003,346,657,12065,11996,69,53477,53366,111,37655,37619,36
"2021","Lincolnshire","E10000019",640208,207030,304863,303654,302145,1509,1209,449,760,14506,14396,110,67162,67003,159,46647,46599,48
"2021","Nottinghamshire","E10000024",679070,231523,318994,317792,316072,1720,1202,407,795,14768,14680,88,66983,66834,149,46802,46750,52
"2021","North Northamptonshire","E06000061",289186,100639,133554,133102,132402,700,452,152,300,7747,7697,50,29664,29591,73,17582,17569,13
"2021","West Northamptonshire","E06000062",343506,122183,161727,161244,160337,907,483,176,307,8107,8068,39,32483,32434,49,19006,18989,17
"2021","Herefordshire, County of","E06000019",157133,47760,78427,78034,77665,369,393,140,253,3273,3255,18,16074,16057,17,11599,11578,21
"2021","Shropshire","E06000051",272246,85075,134614,133995,133340,655,619,198,421,5533,5491,42,27056,27006,50,19968,19941,27
"2021","Stoke-on-Trent","E06000021",205900,82293,84675,84329,83863,466,346,120,226,5560,5530,30,19859,19812,47,13513,13494,19
"2021","Telford and Wrekin","E06000020",148671,54200,66616,66398,66005,393,218,88,130,3649,3632,17,15371,15322,49,8835,8821,14
"2021","Staffordshire","E10000028",726397,238486,352170,351123,349470,1653,1047,362,685,15366,15266,100,69146,68999,147,51229,51189,40
"2021","Warwickshire","E10000031",490565,166325,236333,235473,234374,1099,860,345,515,10282,10237,45,45730,45633,97,31895,31855,40
"2021","Birmingham","E08000025",889623,399065,355416,353826,351792,2034,1590,642,948,23307,23190,117,64517,64383,134,47318,47266,52
"2021","Coventry","E08000026",276873,121739,111312,110790,110216,574,522,308,214,6282,6244,38,22364,22326,38,15176,15167,9
"2021","Dudley","E08000027",262488,94228,120142,119758,119134,624,384,157,227,6111,6081,30,23277,23229,48,18730,18721,9
"2021","Sandwell","E08000028",266024,104858,115901,115565,115024,541,336,160,176,7117,7095,22,21115,21074,41,17033,17019,14
"2021","Solihull","E08000029",174498,58041,86424,86197,85855,342,227,108,119,3394,3371,23,14206,14178,28,12433,12432,1
"2021","Walsall","E08000030",223098,83660,99974,99586,99139,447,388,198,190,5333,5276,57,18479,18441,38,15652,15643,9
"2021","Wolverhampton","E08000031",208442,83054,88978,88682,88184,498,296,120,176,5027,5000,27,17478,17446,32,13905,13894,11
"2021","Worcestershire","E10000034",499359,162424,241988,241072,239886,1186,916,358,558,10474,10422,52,49938,49845,93,34535,34494,41
"2021","Bedford","E06000055",148119,53144,68762,68533,68149,384,229,94,135,3602,3575,27,13946,13918,28,8665,8654,11
