"date","geography","geography code","Marital and civil partnership status: Total; measures: Value","Marital and civil partnership status: Never married and never registered a civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value"
"2021","Boston","E07000136",57585,19758,25731,25584,25449,135,147,70,77,1369,1360,9,6574,6561,13,4153,4147,6
"2021","East Lindsey","E07000137",121417,33686,61172,60891,60592,299,281,96,185,2741,2724,17,13000,12971,29,10818,10811,7
"2021","Lincoln","E07000138",87064,44527,27983,27830,27601,229,153,72,81,1881,1869,12,8326,8305,21,4347,4338,9
"2021","North Kesteven","E07000139",98012,27610,51549,51377,51110,267,172,60,112,2194,2182,12,9785,9767,18,6874,6865,9
"2021","South Holland","E07000140",79000,23857,38854,38707,38558,149,147,58,89,1724,1716,8,8358,8345,13,6207,6203,4
"2021","South Kesteven","E07000141",118009,34814,59457,59284,59038,246,173,64,109,2707,2675,32,12742,12697,45,8289,8283,6
"2021","West Lindsey","E07000142",79116,22778,40115,39978,39797,181,137,29,108,1889,1869,20,8377,8357,20,5957,5952,5
"2021","Ashfield","E07000170",102846,36964,45621,45464,45190,274,157,40,117,2470,2454,16,10654,10628,26,7137,7124,13
"2021","Bassetlaw","E07000171",97366,31485,46233,46088,45834,254,145,44,101,2223,2213,10,10354,10340,14,7071,7066,5
"2021","Broxtowe","E07000172",92541,32970,43190,43025,42826,199,165,70,95,1833,1822,11,8269,8250,19,6279,6269,10
"2021","Gedling","E07000173",96454,33930,44794,44593,44292,301,201,57,144,2010,1999,11,9218,9193,25,6502,6497,5
"2021","Mansfield","E07000174",90170,31949,40185,40048,39834,214,137,62,75,2147,2130,17,9658,9640,18,6231,6225,6
"2021","Newark and Sherwood","E07000175",101967,33206,48666,48465,48237,228,201,66,135,2311,2298,13,10562,10534,28,7222,7214,8
"2021","Rushcliffe","E07000176",97724,31019,50304,50109,49859,250,195,70,125,1773,1762,11,8268,8249,19,6360,6355,5
"2021","Herefordshire, County of","E06000019",157133,47760,78427,78034,77665,369,393,140,253,3273,3255,18,16074,16057,17,11599,11578,21
"2021","Telford and Wrekin","E06000020",148671,54200,66616,66398,66005,393,218,88,130,3649,3632,17,15371,15322,49,8835,8821,14
"2021","Stoke-on-Trent","E06000021",205900,82293,84675,84329,83863,466,346,120,226,5560,5530,30,19859,19812,47,13513,13494,19
"2021","Shropshire","E06000051",272246,85075,134614,133995,133340,655,619,198,421,5533,5491,42,27056,27006,50,19968,19941,27
"2021","Cannock Chase","E07000192",82476,29105,37590,37462,37269,193,128,39,89,1907,1895,12,8330,8316,14,5544,5541,3
"2021","East Staffordshire","E07000193",100508,34620,47601,47416,47187,229,185,74,111,2299,2283,16,9451,9430,21,6537,6534,3
"2021","Lichfield","E07000194",88596,27113,45374,45271,45055,216,103,38,65,1692,1683,9,7996,7982,14,6421,6412,9
"2021","Newcastle-under-Lyme","E07000195",103183,37683,46248,46112,45901,211,136,48,88,2202,2185,17,9688,9662,26,7362,7356,6
"2021","South Staffordshire","E07000196",93371,28256,47993,47863,47662,201,130,42,88,1748,1737,11,8192,8179,13,7182,7179,3
"2021","Stafford","E07000197",113615,35277,56553,56397,56082,315,156,49,107,2485,2467,18,11530,11501,29,7770,7764,6
"2021","Staffordshire Moorlands","E07000198",80855,23779,41509,41393,41235,158,116,34,82,1568,1562,6,7537,7526,11,6462,6454,8
"2021","Tamworth","E07000199",63787,22653,29301,29206,29079,127,95,40,55,1462,1452,10,6421,6403,18,3950,3949,1
"2021","North Warwickshire","E07000218",53897,18072,25588,25497,25363,134,91,22,69,1191,1188,3,5288,5275,13,3758,3753,5
"2021","Nuneaton and Bedworth","E07000219",108588,38196,50075,49904,49646,258,171,69,102,2661,2645,16,10365,10343,22,7291,7286,5
"2021","Rugby","E07000220",92187,31271,44775,44627,44438,189,148,66,82,1965,1962,3,8589,8564,25,5587,5581,6
"2021","Stratford-on-Avon","E07000221",112638,32017,59131,58926,58696,230,205,76,129,2304,2294,10,11060,11041,19,8126,8115,11
"2021","Warwick","E07000222",123254,46769,56764,56521,56233,288,243,111,132,2161,2148,13,10428,10410,18,7132,7120,12
"2021","Bromsgrove","E07000234",81101,24298,42012,41901,41734,167,111,46,65,1603,1598,5,7292,7275,17,5896,5892,4
"2021","Malvern Hills","E07000235",67119,19170,34769,34612,34435,177,157,50,107,1318,1310,8,6573,6563,10,5289,5283,6
"2021","Redditch","E07000236",70254,24964,32385,32230,32088,142,155,62,93,1641,1635,6,7186,7172,14,4078,4070,8
"2021","Worcester","E07000237",85610,34237,36085,35959,35723,236,126,56,70,1775,1762,13,8585,8568,17,4928,4922,6
"2021","Wychavon","E07000238",110717,32287,57466,57246,56975,271,220,80,140,2145,2131,14,10984,10968,16,7835,7831,4
"2021","Wyre Forest","E07000239",84566,27468,39273,39127,38934,193,146,62,84,1995,1989,6,9318,9299,19,6512,6496,16
"2021","Birmingham","E08000025",889623,399065,355416,353826,351792,2034,1590,642,948,23307,23190,117,64517,64383,134,47318,47266,52
"2021","Coventry","E08000026",276873,121739,111312,110790,110216,574,522,308,214,6282,6244,38,22364,22326,38,15176,15167,9
"2021","Dudley","E08000027",262488,94228,120142,119758,119134,624,384,157,227,6111,6081,30,23277,23229,48,18730,18721,9
"2021","Sandwell","E08000028",266024,104858,115901,115565,115024,541,336,160,176,7117,7095,22,21115,21074,41,17033,17019,14
"2021","Solihull","E08000029",174498,58041,86424,86197,85855,342,227,108,119,3394,3371,23,14206,14178,28,12433,12432,1
"2021","Walsall","E08000030",223098,83660,99974,99586,99139,447,388,198,190,5333,5276,57,18479,18441,38,15652,15643,9
"2021","Wolverhampton","E08000031",208442,83054,88978,88682,88184,498,296,120,176,5027,5000,27,17478,17446,32,13905,13894,11
"2021","Peterborough","E06000031",167572,63566,73385,73089,72748,341,296,152,144,4510,4486,24,17136,17107,29,8975,8962,13
"2021","Luton","E06000032",172698,67220,79417,79216,78924,292,201,100,101,4365,4343,22,12950,12933,17,8746,8734,12
"2021","Southend-on-Sea","E06000033",146410,56339,60999,60714,60324,390,285,108,177,3774,3752,22,15977,15934,43,9321,9310,11
"2021","Thurrock","E06000034",136364,52674,61406,61195,60984,211,211,134,77,3423,3405,18,11782,11766,16,7079,7069,10
"2021","Bedford","E06000055",148119,53144,68762,68533,68149,384,229,94,135,3602,3575,27,13946,13918,28,8665,8654,11
"2021","Central Bedfordshire","E06000056",236759,78809,117265,116915,116281,634,350,154,196,5293,5268,25,22110,22057,53,13282,13272,10
"2021","Cambridge","E07000008",124769,70436,41034,40654,40283,371,380,166,214,1701,1690,11,7514,7484,30,4084,4074,10
"2021","East Cambridgeshire","E07000009",71428,21598,37042,36908,36698,210,134,50,84,1509,1500,9,6757,6746,11,4522,4518,4
"2021","Fenland","E07000010",84829,28268,38508,38353,38185,168,155,59,96,2091,2071,20,9368,9349,19,6594,6582,12
"2021","Huntingdonshire","E07000011",148261,46798,74133,73913,73533,380,220,62,158,3371,3353,18,14800,14773,27,9159,9150,9
"2021","South Cambridgeshire","E07000012",130360,39333,70248,69936,69621,315,312,93,219,2567,2556,11,10818,10793,25,7394,7383,11
"2021","Basildon","E07000066",148663,54604,67086,66927,66673,254,159,64,95,3715,3696,19,14229,14198,31,9029,9018,11
"2021","Braintree","E07000067",126573,41635,61504,61290,61004,286,214,60,154,2569,2552,17,12902,12881,21,7963,7951,12
"2021","Brentwood","E07000068",62867,21281,30719,30647,30527,120,72,22,50,1310,1299,11,5424,5410,14,4133,4129,4
"2021","Castle Point","E07000069",74412,23494,36578,36460,36352,108,118,52,66,1425,1421,4,6764,6757,7,6151,6148,3
"2021","Chelmsford","E07000070",147740,50196,72469,72281,71994,287,188,74,114,2815,2797,18,13416,13395,21,8844,8836,8
"2021","Colchester","E07000071",156339,58682,70055,69773,69380,393,282,95,187,3570,3548,22,15213,15172,41,8819,8806,13
"2021","Epping Forest","E07000072",109933,38594,52592,52407,52155,252,185,66,119,2166,2152,14,9564,9545,19,7017,7011,6
"2021","Harlow","E07000073",73106,28932,30680,30561,30387,174,119,59,60,1747,1739,8,7598,7590,8,4149,4148,1
"2021","Maldon","E07000074",55426,16108,28710,28630,28526,104,80,22,58,1087,1080,7,5522,5514,8,3999,3995,4
"2021","Rochford","E07000075",70710,21333,36432,36325,36214,111,107,34,73,1301,1293,8,6450,6449,1,5194,5193,1
"2021","Tendring","E07000076",124891,38443,57643,57426,57137,289,217,66,151,3036,3019,17,14262,14242,20,11507,11491,16
"2021","Uttlesford","E07000077",73522,21634,39144,38995,38858,137,149,54,95,1504,1495,9,6745,6730,15,4495,4493,2
"2021","Broxbourne","E07000095",79435,29514,36073,35941,35837,104,132,64,68,1769,1766,3,7123,7117,6,4956,4954,2
"2021","Dacorum","E07000096",123780,42834,59192,58962,58714,248,230,88,142,2851,2839,12,11698,11669,29,7205,7196,9
"2021","Hertsmere","E07000098",86192,29109,42938,42811,42658,153,127,50,77,1620,1616,4,7301,7290,11,5224,5220,4
"2021","North Hertfordshire","E07000099",107743,36521,52565,52368,52088,280,197,88,109,2278,2267,11,9579,9542,37,6800,6796,4
"2021","Three Rivers","E07000102",75003,24287,39014,38908,38778,130,106,46,60,1323,1316,7,5950,5935,15,4429,4427,2
"2021","Watford","E07000103",80964,30974,38360,38215,38023,192,145,85,60,1751,1744,7,6092,6074,18,3787,3782,5
"2021","Breckland","E07000143",117852,35848,58164,57872,57619,253,292,80,212,2657,2639,18,12638,12619,19,8545,8534,11
"2021","Broadland","E07000144",110506,31656,57174,56984,56695,289,190,58,132,2142,2133,9,11359,11331,28,8175,8165,10
"2021","Great Yarmouth","E07000145",82719,29360,35261,35040,34877,163,221,86,135,1955,1935,20,9943,9922,21,6200,6192,8
"2021","King's Lynn and West Norfolk","E07000146",128887,39336,62946,62657,62385,272,289,80,209,2763,2734,29,13578,13564,14,10264,10256,8
"2021","North Norfolk","E07000147",89145,24203,44738,44433,44172,261,305,36,269,1979,1970,9,10053,10039,14,8172,8157,15
"2021","Norwich","E07000148",120759,63316,36431,36104,35729,375,327,96,231,2915,2897,18,12404,12358,46,5693,5682,11
"2021","South Norfolk","E07000149",117219,34193,60650,60357,60030,327,293,68,225,2363,2346,17,12006,11983,23,8007,7985,22
"2021","Babergh","E07000200",77382,22168,40047,39872,39682,190,175,52,123,1663,1654,9,7834,7822,12,5670,5661,9
"2021","Ipswich","E07000202",111831,44999,46149,45931,45648,283,218,78,140,2847,2828,19,11598,11559,39,6238,6233,5
"2021","Mid Suffolk","E07000203",86305,24742,45378,45192,44985,207,186,54,132,1801,1783,18,8506,8490,16,5878,5872,6
"2021","St Albans","E07000240",116090,36850,61829,61605,61357,248,224,113,111,2124,2116,8,8765,8750,15,6522,6513,9
"2021","Welwyn Hatfield","E07000241",97483,39850,42541,42360,42167,193,181,76,105,2008,1990,18,7795,7783,12,5289,5283,6
"2021","East Hertfordshire","E07000242",121153,41042,60422,60234,59967,267,188,70,118,2257,2242,15,10549,10527,22,6883,6875,8
"2021","Stevenage","E07000243",71235,27238,31258,31154,30985,169,104,46,58,1803,1794,9,6949,6933,16,3987,3983,4
"2021","East Suffolk","E07000244",206720,61291,101587,101050,100588,462,537,142,395,4573,4546,27,22498,22448,50,16771,16747,24
"2021","West Suffolk","E07000245",148127,49197,70695,70448,70046,402,247,70,177,3563,3549,14,15263,15230,33,9409,9390,19
"2021","City of London","E09000001",8003,4594,2435,2322,2218,104,113,17,96,172,166,6,559,537,22,243,242,1
"2021","Barking and Dagenham","E09000002",161744,67654,69279,69040,68681,359,239,165,74,4667,4645,22,13053,13029,24,7091,7085,6
"2021","Barnet","E09000003",309353,118816,145997,145315,144666,649,682,275,407,6808,6770,38,22848,22794,54,14884,14859,25
"2021","Bexley","E09000004",195827,73043,90252,89994,89614,380,258,118,140,4603,4584,19,16020,15992,28,11909,11905,4
"2021","Brent","E09000005",275143,119655,119190,118652,117697,955,538,266,272,6630,6586,44,17786,17734,52,11882,11862,20
"2021","Bromley","E09000006",265087,96698,126582,125976,125080,896,606,178,428,5458,5425,33,21204,21148,56,15145,15131,14
"2021","Camden","E09000007",177909,99156,55698,54665,53662,1003,1033,300,733,3933,3879,54,13124,13010,114,5998,5959,39
